Node Number,Total Deformation (m)
928,5.47E-07
929,3.52E-07
930,5.54E-07
931,5.61E-07
932,5.70E-07
933,5.79E-07
934,5.89E-07
935,6.01E-07
936,6.12E-07
937,6.21E-07
938,6.24E-07
939,6.19E-07
940,6.04E-07
941,5.73E-07
942,5.35E-07
943,4.93E-07
944,4.51E-07
945,4.09E-07
946,3.64E-07
947,3.22E-07
948,2.78E-07
949,2.39E-07
950,2.03E-07
951,1.78E-07
952,1.69E-07
953,1.69E-07
954,1.75E-07
955,1.91E-07
956,2.16E-07
957,2.43E-07
958,2.65E-07
959,2.80E-07
960,2.90E-07
961,2.94E-07
962,2.97E-07
963,2.99E-07
964,3.01E-07
965,3.05E-07
966,3.09E-07
967,3.15E-07
968,3.23E-07
969,3.31E-07
970,3.41E-07
971,4.00E-07
972,3.25E-07
973,3.00E-07
974,2.77E-07
975,2.57E-07
976,2.39E-07
977,2.25E-07
978,2.14E-07
979,2.05E-07
980,1.98E-07
981,1.94E-07
982,1.90E-07
983,1.89E-07
984,1.88E-07
985,1.87E-07
986,1.84E-07
987,1.81E-07
988,1.76E-07
989,1.75E-07
990,1.79E-07
991,1.89E-07
992,2.02E-07
993,2.10E-07
994,2.15E-07
995,2.27E-07
996,2.46E-07
997,2.68E-07
998,2.92E-07
999,3.03E-07
1000,2.86E-07
1001,2.48E-07
1002,2.13E-07
1003,1.90E-07
1004,1.77E-07
1005,1.72E-07
1006,1.72E-07
1007,1.80E-07
1008,1.96E-07
1009,2.22E-07
1010,2.57E-07
1011,3.00E-07
1012,3.49E-07
1013,4.38E-07
1014,4.09E-07
1015,4.18E-07
1016,4.29E-07
1017,4.41E-07
1018,4.54E-07
1019,4.63E-07
1020,4.69E-07
1021,4.72E-07
1022,4.65E-07
1023,4.51E-07
1024,4.32E-07
1025,3.97E-07
1026,3.58E-07
1027,3.20E-07
1028,2.74E-07
1029,2.36E-07
1030,2.09E-07
1031,1.96E-07
1032,2.00E-07
1033,2.22E-07
1034,2.73E-07
1035,3.61E-07
