"Time", "Load (lb)", "Position (in)", "AxialStrain (in)", "TransverseStrain (in)", "Auxiliary ()", "Control Out (V)", "Stress (psi)"
0.0, 10.145352, -0.8303993, NaN, NaN, NaN, 0.4486358, "- N/A -   "
0.010000228881835938, 10.238857, -0.8303284, NaN, NaN, NaN, 0.4486358, "- N/A -   "
0.019999980926513672, 10.28561, -0.83025974, NaN, NaN, NaN, 0.4486358, "- N/A -   "
0.03000020980834961, 10.472621, -0.83019376, NaN, NaN, NaN, 0.447415, "- N/A -   "
0.04000043869018555, 10.566127, -0.8301293, NaN, NaN, NaN, 0.447415, "- N/A -   "
0.05000019073486328, 10.7998905, -0.830067, NaN, NaN, NaN, 0.447415, "- N/A -   "
0.06000041961669922, 10.846643, -0.83000463, NaN, NaN, NaN, 0.44619423, "- N/A -   "
0.07000017166137695, 10.893396, -0.8299395, NaN, NaN, NaN, 0.447415, "- N/A -   "
0.08000040054321289, 10.986902, -0.8298729, NaN, NaN, NaN, 0.447415, "- N/A -   "
0.09000015258789062, 11.173914, -0.82980984, NaN, NaN, NaN, 0.44619423, "- N/A -   "
0.10000038146972656, 11.407677, -0.8297432, NaN, NaN, NaN, 0.44497344, "- N/A -   "
0.1100001335144043, 11.454431, -0.8296774, NaN, NaN, NaN, 0.44497344, "- N/A -   "
0.12000036239624023, 11.501183, -0.82961005, NaN, NaN, NaN, 0.44497344, "- N/A -   "
0.13000011444091797, 11.64144, -0.8295463, NaN, NaN, NaN, 0.44497344, "- N/A -   "
0.1400003433227539, 11.781699, -0.8294797, NaN, NaN, NaN, 0.44497344, "- N/A -   "
0.15000009536743164, 12.015463, -0.8294131, NaN, NaN, NaN, 0.44253188, "- N/A -   "
0.16000032424926758, 12.108969, -0.8293451, NaN, NaN, NaN, 0.44253188, "- N/A -   "
0.1700000762939453, 12.155722, -0.82927495, NaN, NaN, NaN, 0.44253188, "- N/A -   "
0.18000030517578125, 12.2959795, -0.8292098, NaN, NaN, NaN, 0.44253188, "- N/A -   "
0.19000005722045898, 12.436238, -0.8291439, NaN, NaN, NaN, 0.44131112, "- N/A -   "
0.20000028610229492, 12.670002, -0.8290844, NaN, NaN, NaN, 0.44009033, "- N/A -   "
0.21000003814697266, 12.763508, -0.82902133, NaN, NaN, NaN, 0.44009033, "- N/A -   "
0.2200002670288086, 12.857013, -0.8289526, NaN, NaN, NaN, 0.44009033, "- N/A -   "
0.23000001907348633, 12.950519, -0.82888955, NaN, NaN, NaN, 0.44009033, "- N/A -   "
0.24000024795532227, 13.090776, -0.8288216, NaN, NaN, NaN, 0.43886957, "- N/A -   "
0.25, 13.371293, -0.82875776, NaN, NaN, NaN, 0.43764877, "- N/A -   "
0.26000022888183594, 13.418046, -0.8286955, NaN, NaN, NaN, 0.43764877, "- N/A -   "
0.26999998092651367, 13.511552, -0.82863027, NaN, NaN, NaN, 0.43764877, "- N/A -   "
0.2800002098083496, 13.605058, -0.82856655, NaN, NaN, NaN, 0.43764877, "- N/A -   "
0.29000043869018555, 13.745316, -0.82850844, NaN, NaN, NaN, 0.43764877, "- N/A -   "
0.3000001907348633, 14.025832, -0.8284454, NaN, NaN, NaN, 0.43520722, "- N/A -   "
0.3100004196166992, 14.072584, -0.8283802, NaN, NaN, NaN, 0.436428, "- N/A -   "
0.32000017166137695, 14.119338, -0.82831645, NaN, NaN, NaN, 0.436428, "- N/A -   "
0.3300004005432129, 14.306349, -0.8282534, NaN, NaN, NaN, 0.43520722, "- N/A -   "
0.3400001525878906, 14.446608, -0.8281911, NaN, NaN, NaN, 0.43398646, "- N/A -   "
0.35000038146972656, 14.680371, -0.8281301, NaN, NaN, NaN, 0.43276566, "- N/A -   "
0.3600001335144043, 14.727124, -0.8280678, NaN, NaN, NaN, 0.43276566, "- N/A -   "
0.37000036239624023, 14.820629, -0.8279998, NaN, NaN, NaN, 0.43276566, "- N/A -   "
0.38000011444091797, 14.960888, -0.8279389, NaN, NaN, NaN, 0.43276566, "- N/A -   "
0.3900003433227539, 15.101146, -0.8278751, NaN, NaN, NaN, 0.43276566, "- N/A -   "
0.40000009536743164, 15.381662, -0.827812, NaN, NaN, NaN, 0.4303241, "- N/A -   "
0.4100003242492676, 15.428415, -0.82775116, NaN, NaN, NaN, 0.4303241, "- N/A -   "
0.4200000762939453, 15.52192, -0.8276881, NaN, NaN, NaN, 0.4303241, "- N/A -   "
0.43000030517578125, 15.615427, -0.82762855, NaN, NaN, NaN, 0.4303241, "- N/A -   "
0.440000057220459, 15.755685, -0.8275712, NaN, NaN, NaN, 0.4303241, "- N/A -   "
0.4500002861022949, 15.989449, -0.8275159, NaN, NaN, NaN, 0.42788255, "- N/A -   "
0.46000003814697266, 16.036201, -0.8274607, NaN, NaN, NaN, 0.42910334, "- N/A -   "
0.4700002670288086, 16.082954, -0.8273962, NaN, NaN, NaN, 0.42910334, "- N/A -   "
0.48000001907348633, 16.223213, -0.8273388, NaN, NaN, NaN, 0.42910334, "- N/A -   "
0.49000024795532227, 16.410223, -0.82727784, NaN, NaN, NaN, 0.42788255, "- N/A -   "
0.5, 16.69074, -0.8272205, NaN, NaN, NaN, 0.425441, "- N/A -   "
0.5100002288818359, 16.737494, -0.82716525, NaN, NaN, NaN, 0.425441, "- N/A -   "
0.5199999809265137, 16.830997, -0.8271044, NaN, NaN, NaN, 0.425441, "- N/A -   "
0.5300002098083496, 16.924505, -0.8270491, NaN, NaN, NaN, 0.425441, "- N/A -   "
0.5400004386901855, 17.111515, -0.82699454, NaN, NaN, NaN, 0.42422023, "- N/A -   "
0.5500001907348633, 17.39203, -0.82693994, NaN, NaN, NaN, 0.42299944, "- N/A -   "
0.5600004196166992, 17.438786, -0.8268826, NaN, NaN, NaN, 0.42299944, "- N/A -   "
0.570000171661377, 17.53229, -0.82681954, NaN, NaN, NaN, 0.42299944, "- N/A -   "
0.5800004005432129, 17.579042, -0.82676286, NaN, NaN, NaN, 0.42299944, "- N/A -   "
0.5900001525878906, 17.812807, -0.82670766, NaN, NaN, NaN, 0.42177868, "- N/A -   "
0.6000003814697266, 18.04657, -0.82665306, NaN, NaN, NaN, 0.4205579, "- N/A -   "
0.6100001335144043, 18.140076, -0.8266007, NaN, NaN, NaN, 0.4205579, "- N/A -   "
0.6200003623962402, 18.233582, -0.826539, NaN, NaN, NaN, 0.4205579, "- N/A -   "
0.630000114440918, 18.327087, -0.8264837, NaN, NaN, NaN, 0.4205579, "- N/A -   "
0.6400003433227539, 18.5141, -0.8264278, NaN, NaN, NaN, 0.41933712, "- N/A -   "
0.6500000953674316, 18.84137, -0.8263725, NaN, NaN, NaN, 0.41689557, "- N/A -   "
0.6600003242492676, 18.888123, -0.82631445, NaN, NaN, NaN, 0.41811633, "- N/A -   "
0.6700000762939453, 19.02838, -0.8262585, NaN, NaN, NaN, 0.41689557, "- N/A -   "
0.6800003051757812, 19.121885, -0.8262053, NaN, NaN, NaN, 0.41689557, "- N/A -   "
0.690000057220459, 19.308895, -0.82615364, NaN, NaN, NaN, 0.41567478, "- N/A -   "
0.7000002861022949, 19.54266, -0.8261012, NaN, NaN, NaN, 0.414454, "- N/A -   "
0.7100000381469727, 19.589413, -0.8260509, NaN, NaN, NaN, 0.414454, "- N/A -   "
0.7200002670288086, 19.682919, -0.82599276, NaN, NaN, NaN, 0.414454, "- N/A -   "
0.7300000190734863, 19.823175, -0.82593894, NaN, NaN, NaN, 0.414454, "- N/A -   "
0.7400002479553223, 20.01019, -0.8258844, NaN, NaN, NaN, 0.41323322, "- N/A -   "
0.75, 20.290705, -0.8258277, NaN, NaN, NaN, 0.41079167, "- N/A -   "
0.7600002288818359, 20.337456, -0.8257739, NaN, NaN, NaN, 0.41079167, "- N/A -   "
0.7699999809265137, 20.477715, -0.8257172, NaN, NaN, NaN, 0.41079167, "- N/A -   "
0.7800002098083496, 20.57122, -0.8256634, NaN, NaN, NaN, 0.41079167, "- N/A -   "
0.7900004386901855, 20.71148, -0.8256131, NaN, NaN, NaN, 0.41079167, "- N/A -   "
0.8000001907348633, 20.991995, -0.8255628, NaN, NaN, NaN, 0.4083501, "- N/A -   "
0.8100004196166992, 21.0855, -0.82551104, NaN, NaN, NaN, 0.4083501, "- N/A -   "
0.820000171661377, 21.132254, -0.8254551, NaN, NaN, NaN, 0.4083501, "- N/A -   "
0.8300004005432129, 21.22576, -0.8254013, NaN, NaN, NaN, 0.4083501, "- N/A -   "
0.8400001525878906, 21.459524, -0.82534736, NaN, NaN, NaN, 0.40712935, "- N/A -   "
0.8500003814697266, 21.740042, -0.82529217, NaN, NaN, NaN, 0.4046878, "- N/A -   "
0.8600001335144043, 21.786793, -0.82523686, NaN, NaN, NaN, 0.40590855, "- N/A -   "
0.8700003623962402, 21.880299, -0.82518166, NaN, NaN, NaN, 0.40590855, "- N/A -   "
0.880000114440918, 21.973804, -0.82513, NaN, NaN, NaN, 0.40590855, "- N/A -   "
0.8900003433227539, 22.114061, -0.8250797, NaN, NaN, NaN, 0.4046878, "- N/A -   "
0.9000000953674316, 22.394579, -0.8250272, NaN, NaN, NaN, 0.40224624, "- N/A -   "
0.9100003242492676, 22.488085, -0.82497406, NaN, NaN, NaN, 0.40224624, "- N/A -   "
0.9200000762939453, 22.58159, -0.82491386, NaN, NaN, NaN, 0.40224624, "- N/A -   "
0.9300003051757812, 22.675095, -0.8248586, NaN, NaN, NaN, 0.40224624, "- N/A -   "
0.940000057220459, 22.862106, -0.82480407, NaN, NaN, NaN, 0.40102544, "- N/A -   "
0.9500002861022949, 23.142624, -0.8247509, NaN, NaN, NaN, 0.39980468, "- N/A -   "
0.9600005149841309, 23.236128, -0.8246992, NaN, NaN, NaN, 0.39980468, "- N/A -   "
0.9699997901916504, 23.28288, -0.8246489, NaN, NaN, NaN, 0.39980468, "- N/A -   "
0.9800000190734863, 23.376387, -0.82459784, NaN, NaN, NaN, 0.39980468, "- N/A -   "
0.9900002479553223, 23.516644, -0.82455117, NaN, NaN, NaN, 0.39980468, "- N/A -   "
1.0000004768371582, 23.797163, -0.8245022, NaN, NaN, NaN, 0.39736313, "- N/A -   "
1.0099997520446777, 23.890667, -0.8244534, NaN, NaN, NaN, 0.39736313, "- N/A -   "
1.0199999809265137, 23.93742, -0.82440025, NaN, NaN, NaN, 0.39736313, "- N/A -   "
1.0300002098083496, 24.07768, -0.8243485, NaN, NaN, NaN, 0.39736313, "- N/A -   "
1.0400004386901855, 24.217937, -0.82429683, NaN, NaN, NaN, 0.39614233, "- N/A -   "
1.0500006675720215, 24.498453, -0.82425004, NaN, NaN, NaN, 0.39492157, "- N/A -   "
1.059999942779541, 24.591959, -0.8242019, NaN, NaN, NaN, 0.39492157, "- N/A -   "
1.070000171661377, 24.591959, -0.82415444, NaN, NaN, NaN, 0.39492157, "- N/A -   "
1.080000400543213, 24.685465, -0.82410973, NaN, NaN, NaN, 0.39492157, "- N/A -   "
1.0900006294250488, 24.825724, -0.8240666, NaN, NaN, NaN, 0.39492157, "- N/A -   "
1.0999999046325684, 25.152992, -0.8240198, NaN, NaN, NaN, 0.39248002, "- N/A -   "
1.1100001335144043, 25.246496, -0.82397234, NaN, NaN, NaN, 0.39248002, "- N/A -   "
1.1200003623962402, 25.246496, -0.82392204, NaN, NaN, NaN, 0.39248002, "- N/A -   "
1.1300005912780762, 25.386757, -0.8238746, NaN, NaN, NaN, 0.39248002, "- N/A -   "
1.1399998664855957, 25.573767, -0.82382923, NaN, NaN, NaN, 0.39248002, "- N/A -   "
1.1500000953674316, 25.854284, -0.8237846, NaN, NaN, NaN, 0.39003846, "- N/A -   "
1.1600003242492676, 25.854284, -0.82374144, NaN, NaN, NaN, 0.39003846, "- N/A -   "
1.1700005531311035, 25.901037, -0.82369536, NaN, NaN, NaN, 0.39003846, "- N/A -   "
1.179999828338623, 25.994543, -0.82365215, NaN, NaN, NaN, 0.39125922, "- N/A -   "
1.190000057220459, 26.1348, -0.823611, NaN, NaN, NaN, 0.39003846, "- N/A -   "
1.200000286102295, 26.46207, -0.8235678, NaN, NaN, NaN, 0.3875969, "- N/A -   "
1.2100005149841309, 26.508823, -0.8235239, NaN, NaN, NaN, 0.3875969, "- N/A -   "
1.2199997901916504, 26.555576, -0.82347643, NaN, NaN, NaN, 0.38881767, "- N/A -   "
1.2300000190734863, 26.695833, -0.8234325, NaN, NaN, NaN, 0.3875969, "- N/A -   "
1.2400002479553223, 26.836092, -0.8233857, NaN, NaN, NaN, 0.3875969, "- N/A -   "
1.2500004768371582, 27.163363, -0.8233404, NaN, NaN, NaN, 0.38515535, "- N/A -   "
1.2599997520446777, 27.210115, -0.8232944, NaN, NaN, NaN, 0.38515535, "- N/A -   "
1.2699999809265137, 27.210115, -0.8232483, NaN, NaN, NaN, 0.3863761, "- N/A -   "
1.2800002098083496, 27.350372, -0.82320726, NaN, NaN, NaN, 0.3863761, "- N/A -   "
1.2900004386901855, 27.490631, -0.8231662, NaN, NaN, NaN, 0.38515535, "- N/A -   "
1.3000006675720215, 27.817902, -0.8231244, NaN, NaN, NaN, 0.3827138, "- N/A -   "
1.309999942779541, 27.911406, -0.82308257, NaN, NaN, NaN, 0.3827138, "- N/A -   "
1.320000171661377, 27.911406, -0.8230379, NaN, NaN, NaN, 0.38393456, "- N/A -   "
1.330000400543213, 28.004911, -0.8229947, NaN, NaN, NaN, 0.3827138, "- N/A -   "
1.3400006294250488, 28.145168, -0.8229522, NaN, NaN, NaN, 0.3827138, "- N/A -   "
1.3499999046325684, 28.472439, -0.8229083, NaN, NaN, NaN, 0.38027224, "- N/A -   "
1.3600001335144043, 28.565945, -0.822863, NaN, NaN, NaN, 0.38027224, "- N/A -   "
1.3700003623962402, 28.565945, -0.8228176, NaN, NaN, NaN, 0.381493, "- N/A -   "
1.3800005912780762, 28.706202, -0.82277435, NaN, NaN, NaN, 0.38027224, "- N/A -   "
1.3899998664855957, 28.893215, -0.8227304, NaN, NaN, NaN, 0.37905145, "- N/A -   "
1.4000000953674316, 29.17373, -0.82268864, NaN, NaN, NaN, 0.37783068, "- N/A -   "
1.4100003242492676, 29.220484, -0.8226462, NaN, NaN, NaN, 0.37783068, "- N/A -   "
1.4200005531311035, 29.220484, -0.8226008, NaN, NaN, NaN, 0.37905145, "- N/A -   "
1.429999828338623, 29.407495, -0.8225576, NaN, NaN, NaN, 0.37783068, "- N/A -   "
1.440000057220459, 29.547754, -0.8225129, NaN, NaN, NaN, 0.37783068, "- N/A -   "
1.450000286102295, 29.82827, -0.82246834, NaN, NaN, NaN, 0.37538913, "- N/A -   "
1.4600005149841309, 29.921776, -0.82242304, NaN, NaN, NaN, 0.37538913, "- N/A -   "
1.4699997901916504, 29.968529, -0.8223784, NaN, NaN, NaN, 0.37538913, "- N/A -   "
1.4800000190734863, 30.108788, -0.82233584, NaN, NaN, NaN, 0.37538913, "- N/A -   "
1.4900002479553223, 30.202291, -0.82229614, NaN, NaN, NaN, 0.37538913, "- N/A -   "
1.5000004768371582, 30.48281, -0.8222565, NaN, NaN, NaN, 0.37416834, "- N/A -   "
1.5099997520446777, 30.529562, -0.8222176, NaN, NaN, NaN, 0.37294757, "- N/A -   "
1.5199999809265137, 30.576315, -0.82217366, NaN, NaN, NaN, 0.37416834, "- N/A -   "
1.5300002098083496, 30.66982, -0.8221347, NaN, NaN, NaN, 0.37416834, "- N/A -   "
1.5400004386901855, 30.810078, -0.82209504, NaN, NaN, NaN, 0.37294757, "- N/A -   "
1.5500006675720215, 31.090595, -0.8220546, NaN, NaN, NaN, 0.37050602, "- N/A -   "
1.559999942779541, 31.137348, -0.8220142, NaN, NaN, NaN, 0.37050602, "- N/A -   "
1.570000171661377, 31.230854, -0.8219696, NaN, NaN, NaN, 0.37172678, "- N/A -   "
1.580000400543213, 31.324358, -0.8219264, NaN, NaN, NaN, 0.37172678, "- N/A -   "
1.5900006294250488, 31.464617, -0.8218868, NaN, NaN, NaN, 0.37172678, "- N/A -   "
1.5999999046325684, 31.698381, -0.8218471, NaN, NaN, NaN, 0.36928523, "- N/A -   "
1.6100001335144043, 31.745134, -0.8218109, NaN, NaN, NaN, 0.36928523, "- N/A -   "
1.6200003623962402, 31.745134, -0.82177126, NaN, NaN, NaN, 0.37050602, "- N/A -   "
1.6300005912780762, 31.885391, -0.8217344, NaN, NaN, NaN, 0.37050602, "- N/A -   "
1.6399998664855957, 31.978897, -0.82170117, NaN, NaN, NaN, 0.36928523, "- N/A -   "
1.6500000953674316, 32.21266, -0.8216664, NaN, NaN, NaN, 0.36928523, "- N/A -   "
1.6600003242492676, 32.259415, -0.82163095, NaN, NaN, NaN, 0.36928523, "- N/A -   "
1.6700005531311035, 32.259415, -0.82159483, NaN, NaN, NaN, 0.36928523, "- N/A -   "
1.679999828338623, 32.399673, -0.8215566, NaN, NaN, NaN, 0.36928523, "- N/A -   "
1.690000057220459, 32.493176, -0.82152045, NaN, NaN, NaN, 0.36928523, "- N/A -   "
1.700000286102295, 32.773693, -0.8214837, NaN, NaN, NaN, 0.36684367, "- N/A -   "
1.7100005149841309, 32.8672, -0.8214475, NaN, NaN, NaN, 0.36684367, "- N/A -   "
1.7199997901916504, 32.8672, -0.82140493, NaN, NaN, NaN, 0.36806446, "- N/A -   "
1.7300000190734863, 32.960705, -0.82136816, NaN, NaN, NaN, 0.36806446, "- N/A -   "
