"Time", "Load (lb)", "Position (in)", "AxialStrain (in)", "TransverseStrain (in)", "Auxiliary ()", "Control Out (V)", "Stress (psi)"
0.0, 10.098599, -3.6924171, NaN, NaN, NaN, 0.4962461, "- N/A -   "
0.010000228881835938, 10.425869, -3.6923301, NaN, NaN, NaN, 0.49380454, "- N/A -   "
0.01999950408935547, 10.706386, -3.6922438, NaN, NaN, NaN, 0.491363, "- N/A -   "
0.029999732971191406, 10.893396, -3.6921551, NaN, NaN, NaN, 0.491363, "- N/A -   "
0.039999961853027344, 11.080407, -3.6920702, NaN, NaN, NaN, 0.49014223, "- N/A -   "
0.05000019073486328, 11.407677, -3.6919866, NaN, NaN, NaN, 0.48770067, "- N/A -   "
0.06000041961669922, 11.688193, -3.6919036, NaN, NaN, NaN, 0.48525912, "- N/A -   "
0.06999969482421875, 11.96871, -3.69182, NaN, NaN, NaN, 0.48281756, "- N/A -   "
0.07999992370605469, 12.155722, -3.6917343, NaN, NaN, NaN, 0.48281756, "- N/A -   "
0.09000015258789062, 12.342732, -3.6916513, NaN, NaN, NaN, 0.48159677, "- N/A -   "
0.10000038146972656, 12.670002, -3.691572, NaN, NaN, NaN, 0.480376, "- N/A -   "
0.1099996566772461, 12.903767, -3.691492, NaN, NaN, NaN, 0.47793445, "- N/A -   "
0.11999988555908203, 13.184282, -3.6914113, NaN, NaN, NaN, 0.47671366, "- N/A -   "
0.13000011444091797, 13.324541, -3.6913283, NaN, NaN, NaN, 0.4754929, "- N/A -   "
0.1400003433227539, 13.558305, -3.6912467, NaN, NaN, NaN, 0.4742721, "- N/A -   "
0.14999961853027344, 13.65181, -3.6911669, NaN, NaN, NaN, 0.4742721, "- N/A -   "
0.15999984741210938, 14.119338, -3.691094, NaN, NaN, NaN, 0.47060978, "- N/A -   "
0.1700000762939453, 14.399855, -3.6910138, NaN, NaN, NaN, 0.46816823, "- N/A -   "
0.18000030517578125, 14.5401125, -3.6909351, NaN, NaN, NaN, 0.46816823, "- N/A -   "
0.18999958038330078, 14.633618, -3.6908572, NaN, NaN, NaN, 0.46816823, "- N/A -   "
0.19999980926513672, 14.960888, -3.6907852, NaN, NaN, NaN, 0.46572667, "- N/A -   "
0.21000003814697266, 15.33491, -3.69071, NaN, NaN, NaN, 0.46328512, "- N/A -   "
0.2200002670288086, 15.662179, -3.6906333, NaN, NaN, NaN, 0.46084356, "- N/A -   "
0.22999954223632812, 15.802437, -3.6905553, NaN, NaN, NaN, 0.45962277, "- N/A -   "
0.23999977111816406, 15.989449, -3.6904812, NaN, NaN, NaN, 0.458402, "- N/A -   "
0.25, 16.269966, -3.690406, NaN, NaN, NaN, 0.45718122, "- N/A -   "
0.26000022888183594, 16.550482, -3.690336, NaN, NaN, NaN, 0.45473966, "- N/A -   "
0.26999950408935547, 16.877752, -3.690262, NaN, NaN, NaN, 0.4522981, "- N/A -   "
0.2799997329711914, 17.111515, -3.6901884, NaN, NaN, NaN, 0.45107734, "- N/A -   "
0.28999996185302734, 17.298527, -3.6901155, NaN, NaN, NaN, 0.45107734, "- N/A -   "
0.3000001907348633, 17.485538, -3.6900477, NaN, NaN, NaN, 0.44985655, "- N/A -   "
0.3100004196166992, 17.812807, -3.6899745, NaN, NaN, NaN, 0.447415, "- N/A -   "
0.31999969482421875, 18.140076, -3.689903, NaN, NaN, NaN, 0.44497344, "- N/A -   "
