Node Number,Equivalent Elastic Strain (m/m)
928,2.28E-08
928,3.15E-08
929,2.05E-08
929,2.94E-08
930,4.14E-08
930,4.93E-08
931,7.82E-08
931,7.38E-08
932,1.23E-07
932,9.38E-08
933,1.74E-07
933,1.19E-07
934,2.47E-07
934,1.98E-07
935,3.77E-07
935,3.51E-07
936,6.02E-07
936,6.09E-07
937,8.21E-07
937,9.08E-07
938,1.08E-06
938,1.19E-06
939,1.37E-06
939,1.55E-06
940,1.75E-06
940,1.87E-06
941,2.00E-06
941,2.24E-06
942,2.49E-06
942,2.48E-06
943,2.73E-06
943,2.85E-06
944,3.01E-06
944,2.95E-06
945,3.15E-06
945,3.16E-06
946,3.36E-06
946,3.36E-06
947,3.51E-06
947,3.48E-06
948,3.49E-06
948,3.64E-06
949,3.60E-06
949,3.55E-06
950,3.70E-06
950,3.68E-06
951,3.80E-06
951,3.50E-06
952,3.87E-06
952,3.53E-06
953,3.75E-06
953,3.39E-06
954,3.51E-06
954,3.32E-06
955,3.24E-06
955,3.16E-06
956,2.89E-06
956,2.98E-06
957,2.60E-06
957,2.73E-06
958,2.34E-06
958,2.49E-06
959,2.11E-06
959,2.21E-06
960,1.81E-06
960,1.89E-06
961,1.47E-06
961,1.49E-06
962,1.11E-06
962,1.11E-06
963,8.33E-07
963,8.13E-07
964,6.39E-07
964,6.11E-07
965,4.72E-07
965,4.37E-07
966,2.86E-07
966,2.51E-07
967,1.44E-07
967,1.19E-07
968,9.36E-08
968,9.09E-08
969,7.62E-08
969,8.71E-08
970,3.74E-08
970,4.87E-08
971,2.05E-08
971,3.40E-08
972,3.50E-08
972,4.77E-08
973,6.52E-08
973,8.34E-08
974,9.50E-08
974,1.02E-07
975,1.63E-07
975,1.45E-07
976,2.75E-07
976,2.38E-07
977,4.13E-07
977,3.70E-07
978,6.08E-07
978,5.64E-07
979,8.86E-07
979,8.47E-07
980,1.21E-06
980,1.16E-06
981,1.52E-06
981,1.48E-06
982,1.85E-06
982,1.79E-06
983,2.16E-06
983,2.13E-06
984,2.46E-06
984,2.46E-06
985,2.70E-06
985,2.72E-06
986,2.92E-06
986,3.03E-06
987,3.22E-06
987,3.21E-06
988,3.50E-06
988,3.42E-06
989,3.77E-06
989,3.55E-06
990,3.84E-06
990,3.61E-06
991,3.62E-06
991,3.66E-06
992,3.61E-06
992,3.62E-06
993,3.45E-06
993,3.73E-06
994,3.74E-06
994,3.50E-06
995,3.59E-06
995,3.56E-06
996,3.89E-06
996,3.43E-06
997,3.41E-06
997,3.96E-06
998,2.90E-06
998,2.94E-06
999,2.44E-06
999,2.89E-06
1000,2.41E-06
1000,2.59E-06
1001,2.15E-06
1001,2.31E-06
1002,2.04E-06
1002,1.75E-06
1003,1.64E-06
1003,1.46E-06
1004,1.32E-06
1004,1.07E-06
1005,9.68E-07
1005,7.41E-07
1006,6.68E-07
1006,4.51E-07
1007,4.47E-07
1007,2.67E-07
1008,2.94E-07
1008,1.65E-07
1009,1.85E-07
1009,1.17E-07
1010,1.06E-07
1010,9.64E-08
1011,6.97E-08
1011,9.94E-08
1012,3.60E-08
1012,5.92E-08
1013,1.68E-08
1013,3.85E-08
1014,3.48E-08
1014,5.20E-08
1015,6.89E-08
1015,8.87E-08
1016,8.55E-08
1016,7.12E-08
1017,1.32E-07
1017,1.01E-07
1018,1.91E-07
1018,2.02E-07
1019,3.62E-07
1019,4.00E-07
1020,6.36E-07
1020,6.70E-07
1021,8.99E-07
1021,9.96E-07
1022,1.19E-06
1022,1.27E-06
1023,1.46E-06
1023,1.60E-06
1024,1.83E-06
1024,1.89E-06
1025,2.02E-06
1025,2.28E-06
1026,2.47E-06
1026,2.35E-06
1027,2.62E-06
1027,2.78E-06
1028,3.10E-06
1028,3.00E-06
1029,3.29E-06
1029,3.23E-06
1030,3.53E-06
1030,3.22E-06
1031,3.61E-06
1031,3.36E-06
1032,3.69E-06
1032,3.27E-06
1033,3.82E-06
1033,3.28E-06
1034,3.82E-06
1034,3.50E-06
1035,3.95E-06
1035,3.57E-06
1036,3.69E-06
1036,3.82E-06
